KPI Name,Value,Date,Notes,Chart Type,Category
Server Load 3,30.56,2024-10-25,,line,
Server Load 3,29.16,2024-10-26,,line,
Server Load 3,30.18,2024-10-27,,line,
Server Load 3,26.25,2024-10-28,,line,
Server Load 3,30.22,2024-10-29,,line,
Server Load 3,28.37,2024-10-30,,line,
Server Load 3,31.22,2024-10-31,,line,
Server Load 3,28.22,2024-11-01,,line,
Server Load 3,24.15,2024-11-02,,line,
Server Load 3,25.45,2024-11-03,,line,
Server Load 3,22.20,2024-11-04,,line,
Server Load 3,27.03,2024-11-05,,line,
Server Load 3,26.08,2024-11-06,,line,
Server Load 3,24.35,2024-11-07,,line,
Server Load 3,28.79,2024-11-08,,line,
Server Load 4,45.99,2024-08-01,,line,
Server Load 4,45.95,2024-08-02,,line,
Server Load 4,44.62,2024-08-03,,line,
Server Load 4,45.01,2024-08-04,,line,
Server Load 4,47.50,2024-08-05,,line,
Server Load 4,44.88,2024-08-06,,line,
Server Load 4,45.48,2024-08-07,,line,
Server Load 4,50.17,2024-08-08,,line,
Server Load 4,54.03,2024-08-09,,line,
Server Load 4,53.95,2024-08-10,,line,
Server Load 4,53.07,2024-08-11,,line,
Server Load 4,56.44,2024-08-12,,line,
Server Load 4,55.49,2024-08-13,,line,
Server Load 4,54.01,2024-08-14,,line,
Server Load 4,49.32,2024-08-15,,line,
Server Load 4,50.85,2024-08-16,,line,
Server Load 4,54.60,2024-08-17,,line,
Server Load 4,54.55,2024-08-18,,line,
Server Load 4,57.39,2024-08-19,,line,
Server Load 4,54.62,2024-08-20,,line,
Server Load 4,55.61,2024-08-21,,line,
Server Load 4,53.75,2024-08-22,,line,
Server Load 4,52.92,2024-08-23,,line,
Server Load 4,56.11,2024-08-24,,line,
Server Load 4,58.44,2024-08-25,,line,
Server Load 4,56.05,2024-08-26,,line,
Server Load 4,57.41,2024-08-27,,line,
Server Load 4,57.57,2024-08-28,,line,
Server Load 4,57.70,2024-08-29,,line,
Server Load 4,59.15,2024-08-30,,line,
Server Load 4,62.44,2024-08-31,,line,
Server Load 4,59.13,2024-09-01,,line,
Server Load 4,58.42,2024-09-02,,line,
Server Load 4,60.70,2024-09-03,,line,
Server Load 4,57.83,2024-09-04,,line,
Server Load 4,53.97,2024-09-05,,line,
Server Load 4,50.44,2024-09-06,,line,
Server Load 4,50.52,2024-09-07,,line,
Server Load 4,49.46,2024-09-08,,line,
Server Load 4,53.52,2024-09-09,,line,
Server Load 4,49.91,2024-09-10,,line,
Server Load 4,52.95,2024-09-11,,line,
Server Load 4,51.21,2024-09-12,,line,
Server Load 4,51.84,2024-09-13,,line,
Server Load 4,56.60,2024-09-14,,line,
Server Load 4,59.01,2024-09-15,,line,
Server Load 4,62.26,2024-09-16,,line,
Server Load 4,65.05,2024-09-17,,line,
Server Load 4,61.50,2024-09-18,,line,
Server Load 4,63.66,2024-09-19,,line,
Server Load 4,66.33,2024-09-20,,line,
Server Load 4,68.82,2024-09-21,,line,
Server Load 4,70.30,2024-09-22,,line,
Server Load 4,67.05,2024-09-23,,line,
Server Load 4,68.99,2024-09-24,,line,
Server Load 4,73.61,2024-09-25,,line,
Server Load 4,72.12,2024-09-26,,line,
Server Load 4,72.14,2024-09-27,,line,
Server Load 4,73.41,2024-09-28,,line,
Server Load 4,69.91,2024-09-29,,line,
Server Load 4,66.75,2024-09-30,,line,
Server Load 4,71.47,2024-10-01,,line,
Server Load 4,75.93,2024-10-02,,line,
Server Load 4,75.37,2024-10-03,,line,
Server Load 4,77.12,2024-10-04,,line,
Server Load 4,76.01,2024-10-05,,line,
Server Load 4,79.49,2024-10-06,,line,
Server Load 4,74.98,2024-10-07,,line,
Server Load 4,77.57,2024-10-08,,line,
Server Load 4,75.66,2024-10-09,,line,
Server Load 4,70.97,2024-10-10,,line,
Server Load 4,69.50,2024-10-11,,line,
Server Load 4,69.56,2024-10-12,,line,
Server Load 4,72.53,2024-10-13,,line,
Server Load 4,70.04,2024-10-14,,line,
Server Load 4,73.69,2024-10-15,,line,
Server Load 4,69.93,2024-10-16,,line,
Server Load 4,69.24,2024-10-17,,line,
Server Load 4,69.95,2024-10-18,,line,
Server Load 4,72.85,2024-10-19,,line,
Server Load 4,72.51,2024-10-20,,line,
Server Load 4,73.66,2024-10-21,,line,
Server Load 4,72.19,2024-10-22,,line,
Server Load 4,72.73,2024-10-23,,line,
Server Load 4,71.32,2024-10-24,,line,
Server Load 4,72.67,2024-10-25,,line,
Server Load 4,68.36,2024-10-26,,line,
Server Load 4,68.98,2024-10-27,,line,
Server Load 4,72.35,2024-10-28,,line,
Server Load 4,67.83,2024-10-29,,line,
Server Load 4,67.13,2024-10-30,,line,
Server Load 4,68.19,2024-10-31,,line,
Server Load 4,73.09,2024-11-01,,line,
Server Load 4,69.60,2024-11-02,,line,
Server Load 4,70.72,2024-11-03,,line,
Server Load 4,73.85,2024-11-04,,line,
Server Load 4,74.33,2024-11-05,,line,
Server Load 4,70.87,2024-11-06,,line,
Server Load 4,69.90,2024-11-07,,line,
Server Load 4,64.93,2024-11-08,,line,
Server Load 5,53.00,2024-08-01,,line,
Server Load 5,54.07,2024-08-02,,line,
Server Load 5,51.84,2024-08-03,,line,
Server Load 5,55.09,2024-08-04,,line,
Server Load 5,53.50,2024-08-05,,line,
Server Load 5,56.79,2024-08-06,,line,
Server Load 5,55.04,2024-08-07,,line,
Server Load 5,54.52,2024-08-08,,line,
Server Load 5,54.47,2024-08-09,,line,
Server Load 5,56.75,2024-08-10,,line,
Server Load 5,56.75,2024-08-11,,line,
Server Load 5,54.48,2024-08-12,,line,
Server Load 5,53.42,2024-08-13,,line,
Server Load 5,53.59,2024-08-14,,line,
Server Load 5,48.95,2024-08-15,,line,
Server Load 5,49.10,2024-08-16,,line,
Server Load 5,46.09,2024-08-17,,line,
Server Load 5,42.55,2024-08-18,,line,
Server Load 5,39.56,2024-08-19,,line,
Server Load 5,44.03,2024-08-20,,line,
Server Load 5,39.70,2024-08-21,,line,
Server Load 5,37.50,2024-08-22,,line,
Server Load 5,34.89,2024-08-23,,line,
Server Load 5,34.21,2024-08-24,,line,
Server Load 5,36.95,2024-08-25,,line,
Server Load 5,38.78,2024-08-26,,line,
Server Load 5,36.65,2024-08-27,,line,
Server Load 5,41.17,2024-08-28,,line,
Server Load 5,45.76,2024-08-29,,line,
Server Load 5,45.25,2024-08-30,,line,
Server Load 5,42.64,2024-08-31,,line,
Server Load 5,38.03,2024-09-01,,line,
Server Load 5,35.73,2024-09-02,,line,
Server Load 5,38.38,2024-09-03,,line,
Server Load 5,39.07,2024-09-04,,line,
Server Load 5,39.45,2024-09-05,,line,
Server Load 5,43.51,2024-09-06,,line,
Server Load 5,45.16,2024-09-07,,line,
Server Load 5,44.92,2024-09-08,,line,
Server Load 5,40.35,2024-09-09,,line,
Server Load 5,41.52,2024-09-10,,line,
Server Load 5,41.93,2024-09-11,,line,
Server Load 5,39.97,2024-09-12,,line,
Server Load 5,42.38,2024-09-13,,line,
Server Load 5,47.31,2024-09-14,,line,
Server Load 5,42.82,2024-09-15,,line,
Server Load 5,39.95,2024-09-16,,line,
Server Load 5,35.03,2024-09-17,,line,
Server Load 5,34.22,2024-09-18,,line,
Server Load 5,33.38,2024-09-19,,line,
Server Load 5,34.28,2024-09-20,,line,
Server Load 5,34.10,2024-09-21,,line,
Server Load 5,34.42,2024-09-22,,line,
Server Load 5,37.69,2024-09-23,,line,
Server Load 5,35.88,2024-09-24,,line,
Server Load 5,40.87,2024-09-25,,line,
Server Load 5,45.76,2024-09-26,,line,
Server Load 5,40.93,2024-09-27,,line,
Server Load 5,42.78,2024-09-28,,line,
Server Load 5,38.66,2024-09-29,,line,
Server Load 5,37.58,2024-09-30,,line,
Server Load 5,33.96,2024-10-01,,line,
Server Load 5,35.11,2024-10-02,,line,
Server Load 5,32.30,2024-10-03,,line,
Server Load 5,34.56,2024-10-04,,line,
Server Load 5,32.87,2024-10-05,,line,
Server Load 5,30.45,2024-10-06,,line,
Server Load 5,32.74,2024-10-07,,line,
Server Load 5,32.40,2024-10-08,,line,
Server Load 5,30.26,2024-10-09,,line,
Server Load 5,28.71,2024-10-10,,line,
Server Load 5,30.98,2024-10-11,,line,
Server Load 5,26.35,2024-10-12,,line,
Server Load 5,31.27,2024-10-13,,line,
Server Load 5,29.22,2024-10-14,,line,
Server Load 5,26.86,2024-10-15,,line,
Server Load 5,28.98,2024-10-16,,line,
Server Load 5,24.49,2024-10-17,,line,
Server Load 5,21.20,2024-10-18,,line,
Server Load 5,24.70,2024-10-19,,line,
Server Load 5,20.06,2024-10-20,,line,
Server Load 5,22.41,2024-10-21,,line,
Server Load 5,18.65,2024-10-22,,line,
Server Load 5,14.30,2024-10-23,,line,
Server Load 5,15.83,2024-10-24,,line,
Server Load 5,14.12,2024-10-25,,line,
Server Load 5,14.70,2024-10-26,,line,
Server Load 5,16.60,2024-10-27,,line,
Server Load 5,13.00,2024-10-28,,line,
Server Load 5,14.36,2024-10-29,,line,
Server Load 5,13.37,2024-10-30,,line,
Server Load 5,17.78,2024-10-31,,line,
Server Load 5,15.49,2024-11-01,,line,
Server Load 5,14.98,2024-11-02,,line,
Server Load 5,12.50,2024-11-03,,line,
Server Load 5,14.59,2024-11-04,,line,
Server Load 5,10.63,2024-11-05,,line,
Server Load 5,15.14,2024-11-06,,line,
Server Load 5,13.77,2024-11-07,,line,
Server Load 5,15.74,2024-11-08,,line,
Server Load 6,52.19,2024-08-01,,line,
Server Load 6,48.53,2024-08-02,,line,
Server Load 6,44.38,2024-08-03,,line,
Server Load 6,45.50,2024-08-04,,line,
Server Load 6,48.67,2024-08-05,,line,
Server Load 6,45.71,2024-08-06,,line,
Server Load 6,41.62,2024-08-07,,line,
Server Load 6,41.25,2024-08-08,,line,
Server Load 6,44.04,2024-08-09,,line,
Server Load 6,46.71,2024-08-10,,line,
Server Load 6,43.12,2024-08-11,,line,
Server Load 6,45.46,2024-08-12,,line,
Server Load 6,48.11,2024-08-13,,line,
Server Load 6,44.73,2024-08-14,,line,
Server Load 6,39.75,2024-08-15,,line,
Server Load 6,39.86,2024-08-16,,line,
Server Load 6,36.29,2024-08-17,,line,
Server Load 6,41.01,2024-08-18,,line,
Server Load 6,39.47,2024-08-19,,line,
Server Load 6,35.98,2024-08-20,,line,
Server Load 6,32.45,2024-08-21,,line,
Server Load 6,27.82,2024-08-22,,line,
Server Load 6,26.82,2024-08-23,,line,
Server Load 6,23.39,2024-08-24,,line,
Server Load 6,26.53,2024-08-25,,line,
Server Load 6,27.82,2024-08-26,,line,
Server Load 6,29.64,2024-08-27,,line,
Server Load 6,32.98,2024-08-28,,line,
Server Load 6,29.50,2024-08-29,,line,
Server Load 6,25.31,2024-08-30,,line,
Server Load 6,24.01,2024-08-31,,line,
Server Load 6,21.11,2024-09-01,,line,
Server Load 6,24.59,2024-09-02,,line,
Server Load 6,27.76,2024-09-03,,line,
Server Load 6,23.69,2024-09-04,,line,
Server Load 6,23.43,2024-09-05,,line,
Server Load 6,22.99,2024-09-06,,line,
Server Load 6,22.38,2024-09-07,,line,
Server Load 6,26.19,2024-09-08,,line,
Server Load 6,26.04,2024-09-09,,line,
Server Load 6,26.33,2024-09-10,,line,
Server Load 6,27.99,2024-09-11,,line,
Server Load 6,25.38,2024-09-12,,line,
Server Load 6,29.84,2024-09-13,,line,
Server Load 6,30.54,2024-09-14,,line,
Server Load 6,28.35,2024-09-15,,line,
Server Load 6,25.06,2024-09-16,,line,
Server Load 6,20.20,2024-09-17,,line,
Server Load 6,15.60,2024-09-18,,line,
Server Load 6,13.03,2024-09-19,,line,
Server Load 6,10.61,2024-09-20,,line,
Server Load 6,12.00,2024-09-21,,line,
Server Load 6,12.23,2024-09-22,,line,
Server Load 6,16.69,2024-09-23,,line,
Server Load 6,12.50,2024-09-24,,line,
Server Load 6,13.76,2024-09-25,,line,
Server Load 6,15.84,2024-09-26,,line,
Server Load 6,18.40,2024-09-27,,line,
Server Load 6,13.57,2024-09-28,,line,
Server Load 6,15.17,2024-09-29,,line,
Server Load 6,12.17,2024-09-30,,line,
Server Load 6,15.29,2024-10-01,,line,
Server Load 6,14.43,2024-10-02,,line,
Server Load 6,10.11,2024-10-03,,line,
Server Load 6,14.66,2024-10-04,,line,
Server Load 6,10.35,2024-10-05,,line,
Server Load 6,14.46,2024-10-06,,line,
Server Load 6,13.68,2024-10-07,,line,
Server Load 6,9.87,2024-10-08,,line,
Server Load 6,5.89,2024-10-09,,line,
Server Load 6,6.64,2024-10-10,,line,
Server Load 6,9.60,2024-10-11,,line,
Server Load 6,12.83,2024-10-12,,line,
Server Load 6,15.81,2024-10-13,,line,
Server Load 6,20.06,2024-10-14,,line,
Server Load 6,17.24,2024-10-15,,line,
Server Load 6,15.62,2024-10-16,,line,
Server Load 6,11.03,2024-10-17,,line,
Server Load 6,14.89,2024-10-18,,line,
Server Load 6,11.77,2024-10-19,,line,
Server Load 6,13.75,2024-10-20,,line,
Server Load 6,13.24,2024-10-21,,line,
Server Load 6,11.37,2024-10-22,,line,
Server Load 6,14.91,2024-10-23,,line,
Server Load 6,18.50,2024-10-24,,line,
Server Load 6,18.55,2024-10-25,,line,
Server Load 6,22.81,2024-10-26,,line,
Server Load 6,22.28,2024-10-27,,line,
Server Load 6,26.97,2024-10-28,,line,
Server Load 6,23.71,2024-10-29,,line,
Server Load 6,20.46,2024-10-30,,line,
Server Load 6,18.59,2024-10-31,,line,
Server Load 6,15.17,2024-11-01,,line,
Server Load 6,10.51,2024-11-02,,line,
Server Load 6,7.00,2024-11-03,,line,
Server Load 6,11.89,2024-11-04,,line,
Server Load 6,7.45,2024-11-05,,line,
Server Load 6,12.28,2024-11-06,,line,
Server Load 6,13.63,2024-11-07,,line,
Server Load 6,15.96,2024-11-08,,line,
Server Load 7,50.93,2024-08-01,,line,
Server Load 7,47.63,2024-08-02,,line,
Server Load 7,45.32,2024-08-03,,line,
Server Load 7,50.07,2024-08-04,,line,
Server Load 7,53.29,2024-08-05,,line,
Server Load 7,53.80,2024-08-06,,line,
Server Load 7,53.52,2024-08-07,,line,
Server Load 7,53.39,2024-08-08,,line,
Server Load 7,54.39,2024-08-09,,line,
Server Load 7,54.78,2024-08-10,,line,
Server Load 7,54.82,2024-08-11,,line,
Server Load 7,57.49,2024-08-12,,line,
Server Load 7,61.72,2024-08-13,,line,
Server Load 7,63.04,2024-08-14,,line,
Server Load 7,62.67,2024-08-15,,line,
Server Load 7,59.06,2024-08-16,,line,
Server Load 7,61.36,2024-08-17,,line,
Server Load 7,58.27,2024-08-18,,line,
Server Load 7,57.84,2024-08-19,,line,
Server Load 7,61.98,2024-08-20,,line,
Server Load 7,64.12,2024-08-21,,line,
Server Load 7,65.84,2024-08-22,,line,
Server Load 7,68.66,2024-08-23,,line,
Server Load 7,68.12,2024-08-24,,line,
Server Load 7,64.31,2024-08-25,,line,
Server Load 7,59.87,2024-08-26,,line,
Server Load 7,58.84,2024-08-27,,line,
Server Load 7,62.95,2024-08-28,,line,
Server Load 7,67.78,2024-08-29,,line,
Server Load 7,72.58,2024-08-30,,line,
Server Load 7,69.69,2024-08-31,,line,
Server Load 7,69.34,2024-09-01,,line,
Server Load 7,72.81,2024-09-02,,line,
Server Load 7,69.31,2024-09-03,,line,
Server Load 7,64.63,2024-09-04,,line,
Server Load 7,69.37,2024-09-05,,line,
Server Load 7,73.25,2024-09-06,,line,
Server Load 7,68.81,2024-09-07,,line,
Server Load 7,63.96,2024-09-08,,line,
Server Load 7,65.96,2024-09-09,,line,
Server Load 7,64.25,2024-09-10,,line,
Server Load 7,62.24,2024-09-11,,line,
Server Load 7,59.60,2024-09-12,,line,
Server Load 7,61.48,2024-09-13,,line,
Server Load 7,65.51,2024-09-14,,line,
Server Load 7,69.34,2024-09-15,,line,
Server Load 7,67.12,2024-09-16,,line,
Server Load 7,67.39,2024-09-17,,line,
Server Load 7,64.34,2024-09-18,,line,
Server Load 7,64.33,2024-09-19,,line,
Server Load 7,60.38,2024-09-20,,line,
Server Load 7,57.46,2024-09-21,,line,
Server Load 7,53.76,2024-09-22,,line,
Server Load 7,54.80,2024-09-23,,line,
Server Load 7,56.12,2024-09-24,,line,
Server Load 7,54.12,2024-09-25,,line,
Server Load 7,55.82,2024-09-26,,line,
Server Load 7,55.20,2024-09-27,,line,
Server Load 7,59.89,2024-09-28,,line,
Server Load 7,63.98,2024-09-29,,line,
Server Load 7,60.15,2024-09-30,,line,
Server Load 7,60.79,2024-10-01,,line,
Server Load 7,57.86,2024-10-02,,line,
Server Load 7,59.60,2024-10-03,,line,
Server Load 7,58.29,2024-10-04,,line,
Server Load 7,54.72,2024-10-05,,line,
Server Load 7,55.89,2024-10-06,,line,
Server Load 7,53.65,2024-10-07,,line,
Server Load 7,53.53,2024-10-08,,line,
Server Load 7,54.01,2024-10-09,,line,
Server Load 7,56.58,2024-10-10,,line,
Server Load 7,56.16,2024-10-11,,line,
Server Load 7,58.95,2024-10-12,,line,
Server Load 7,59.29,2024-10-13,,line,
Server Load 7,60.95,2024-10-14,,line,
Server Load 7,57.51,2024-10-15,,line,
Server Load 7,55.50,2024-10-16,,line,
Server Load 7,57.60,2024-10-17,,line,
Server Load 7,57.26,2024-10-18,,line,
Server Load 7,56.19,2024-10-19,,line,
Server Load 7,61.04,2024-10-20,,line,
Server Load 7,64.99,2024-10-21,,line,
Server Load 7,62.39,2024-10-22,,line,
Server Load 7,65.94,2024-10-23,,line,
Server Load 7,65.36,2024-10-24,,line,
Server Load 7,68.27,2024-10-25,,line,
Server Load 7,67.54,2024-10-26,,line,
Server Load 7,69.83,2024-10-27,,line,
Server Load 7,68.14,2024-10-28,,line,
Server Load 7,68.47,2024-10-29,,line,
Server Load 7,70.66,2024-10-30,,line,
Server Load 7,68.84,2024-10-31,,line,
Server Load 7,63.96,2024-11-01,,line,
Server Load 7,60.21,2024-11-02,,line,
Server Load 7,64.12,2024-11-03,,line,
Server Load 7,62.96,2024-11-04,,line,
Server Load 7,64.22,2024-11-05,,line,
Server Load 7,65.35,2024-11-06,,line,
Server Load 7,61.36,2024-11-07,,line,
Server Load 7,61.83,2024-11-08,,line,
Server Load 8,49.89,2024-08-01,,line,
Server Load 8,51.58,2024-08-02,,line,
Server Load 8,51.26,2024-08-03,,line,
Server Load 8,49.61,2024-08-04,,line,
Server Load 8,53.59,2024-08-05,,line,
Server Load 8,56.53,2024-08-06,,line,
Server Load 8,54.25,2024-08-07,,line,
Server Load 8,55.79,2024-08-08,,line,
Server Load 8,52.65,2024-08-09,,line,
Server Load 8,49.73,2024-08-10,,line,
Server Load 8,50.23,2024-08-11,,line,
Server Load 8,53.47,2024-08-12,,line,
Server Load 8,49.44,2024-08-13,,line,
Server Load 8,52.17,2024-08-14,,line,
Server Load 8,53.68,2024-08-15,,line,
Server Load 8,53.39,2024-08-16,,line,
Server Load 8,52.67,2024-08-17,,line,
Server Load 8,50.07,2024-08-18,,line,
Server Load 8,50.84,2024-08-19,,line,
Server Load 8,48.66,2024-08-20,,line,
Server Load 8,49.58,2024-08-21,,line,
Server Load 8,49.49,2024-08-22,,line,
Server Load 8,46.29,2024-08-23,,line,
Server Load 8,50.08,2024-08-24,,line,
Server Load 8,51.92,2024-08-25,,line,
Server Load 8,48.37,2024-08-26,,line,
Server Load 8,47.81,2024-08-27,,line,
Server Load 8,49.13,2024-08-28,,line,
Server Load 8,52.32,2024-08-29,,line,
Server Load 8,54.15,2024-08-30,,line,
Server Load 8,55.29,2024-08-31,,line,
Server Load 8,58.04,2024-09-01,,line,
Server Load 8,59.79,2024-09-02,,line,
Server Load 8,64.22,2024-09-03,,line,
Server Load 8,65.78,2024-09-04,,line,
Server Load 8,69.84,2024-09-05,,line,
Server Load 8,73.12,2024-09-06,,line,
Server Load 8,71.64,2024-09-07,,line,
Server Load 8,69.85,2024-09-08,,line,
Server Load 8,64.96,2024-09-09,,line,
Server Load 8,60.89,2024-09-10,,line,
Server Load 8,64.75,2024-09-11,,line,
Server Load 8,60.41,2024-09-12,,line,
Server Load 8,57.55,2024-09-13,,line,
Server Load 8,55.84,2024-09-14,,line,
Server Load 8,51.82,2024-09-15,,line,
Server Load 8,52.36,2024-09-16,,line,
Server Load 8,53.11,2024-09-17,,line,
Server Load 8,54.96,2024-09-18,,line,
Server Load 8,50.19,2024-09-19,,line,
Server Load 8,45.22,2024-09-20,,line,
Server Load 8,49.52,2024-09-21,,line,
Server Load 8,44.71,2024-09-22,,line,
Server Load 8,49.16,2024-09-23,,line,
Server Load 8,53.83,2024-09-24,,line,
Server Load 8,51.53,2024-09-25,,line,
Server Load 8,56.51,2024-09-26,,line,
Server Load 8,56.80,2024-09-27,,line,
Server Load 8,59.45,2024-09-28,,line,
Server Load 8,63.03,2024-09-29,,line,
Server Load 8,60.31,2024-09-30,,line,
Server Load 8,63.78,2024-10-01,,line,
Server Load 8,63.44,2024-10-02,,line,
Server Load 8,63.85,2024-10-03,,line,
Server Load 8,68.44,2024-10-04,,line,
Server Load 8,63.52,2024-10-05,,line,
Server Load 8,63.86,2024-10-06,,line,
Server Load 8,65.32,2024-10-07,,line,
Server Load 8,61.70,2024-10-08,,line,
Server Load 8,66.19,2024-10-09,,line,
Server Load 8,61.81,2024-10-10,,line,
Server Load 8,62.46,2024-10-11,,line,
Server Load 8,65.89,2024-10-12,,line,
Server Load 8,69.47,2024-10-13,,line,
Server Load 8,68.54,2024-10-14,,line,
Server Load 8,67.09,2024-10-15,,line,
Server Load 8,69.51,2024-10-16,,line,
Server Load 8,72.54,2024-10-17,,line,
Server Load 8,76.24,2024-10-18,,line,
Server Load 8,75.29,2024-10-19,,line,
Server Load 8,78.12,2024-10-20,,line,
Server Load 8,75.51,2024-10-21,,line,
Server Load 8,75.09,2024-10-22,,line,
Server Load 8,74.88,2024-10-23,,line,
Server Load 8,77.61,2024-10-24,,line,
Server Load 8,77.22,2024-10-25,,line,
Server Load 8,79.06,2024-10-26,,line,
Server Load 8,74.15,2024-10-27,,line,
Server Load 8,69.47,2024-10-28,,line,
Server Load 8,72.38,2024-10-29,,line,
Server Load 8,67.86,2024-10-30,,line,
Server Load 8,68.15,2024-10-31,,line,
Server Load 8,63.77,2024-11-01,,line,
Server Load 8,64.60,2024-11-02,,line,
Server Load 8,68.23,2024-11-03,,line,
Server Load 8,66.72,2024-11-04,,line,
Server Load 8,71.01,2024-11-05,,line,
Server Load 8,69.92,2024-11-06,,line,
Server Load 8,69.74,2024-11-07,,line,
Server Load 8,69.19,2024-11-08,,line,
Server Load 9,52.62,2024-08-01,,line,
Server Load 9,47.72,2024-08-02,,line,
Server Load 9,49.63,2024-08-03,,line,
Server Load 9,47.22,2024-08-04,,line,
Server Load 9,51.45,2024-08-05,,line,
Server Load 9,52.42,2024-08-06,,line,
Server Load 9,53.43,2024-08-07,,line,
Server Load 9,53.92,2024-08-08,,line,
Server Load 9,58.03,2024-08-09,,line,
Server Load 9,60.72,2024-08-10,,line,
Server Load 9,57.25,2024-08-11,,line,
Server Load 9,60.52,2024-08-12,,line,
Server Load 9,59.55,2024-08-13,,line,
Server Load 9,55.03,2024-08-14,,line,
Server Load 9,54.45,2024-08-15,,line,
Server Load 9,54.69,2024-08-16,,line,
Server Load 9,53.57,2024-08-17,,line,
Server Load 9,48.87,2024-08-18,,line,
Server Load 9,49.35,2024-08-19,,line,
Server Load 9,48.86,2024-08-20,,line,
Server Load 9,53.76,2024-08-21,,line,
Server Load 9,50.68,2024-08-22,,line,
Server Load 9,46.39,2024-08-23,,line,
Server Load 9,41.60,2024-08-24,,line,
Server Load 9,38.13,2024-08-25,,line,
Server Load 9,34.09,2024-08-26,,line,
Server Load 9,34.70,2024-08-27,,line,
Server Load 9,31.82,2024-08-28,,line,
Server Load 9,31.13,2024-08-29,,line,
Server Load 9,28.66,2024-08-30,,line,
Server Load 9,27.39,2024-08-31,,line,
Server Load 9,25.94,2024-09-01,,line,
Server Load 9,27.54,2024-09-02,,line,
Server Load 9,32.24,2024-09-03,,line,
Server Load 9,36.10,2024-09-04,,line,
Server Load 9,33.88,2024-09-05,,line,
Server Load 9,31.57,2024-09-06,,line,
Server Load 9,28.94,2024-09-07,,line,
Server Load 9,31.92,2024-09-08,,line,
Server Load 9,33.79,2024-09-09,,line,
Server Load 9,31.75,2024-09-10,,line,
Server Load 9,35.69,2024-09-11,,line,
Server Load 9,37.45,2024-09-12,,line,
Server Load 9,40.18,2024-09-13,,line,
Server Load 9,40.31,2024-09-14,,line,
Server Load 9,41.47,2024-09-15,,line,
Server Load 9,39.50,2024-09-16,,line,
Server Load 9,43.90,2024-09-17,,line,
Server Load 9,39.60,2024-09-18,,line,
Server Load 9,43.23,2024-09-19,,line,
Server Load 9,43.37,2024-09-20,,line,
Server Load 9,39.63,2024-09-21,,line,
Server Load 9,44.56,2024-09-22,,line,
Server Load 9,41.21,2024-09-23,,line,
Server Load 9,46.05,2024-09-24,,line,
Server Load 9,48.39,2024-09-25,,line,
Server Load 9,46.88,2024-09-26,,line,
Server Load 9,48.61,2024-09-27,,line,
Server Load 9,45.18,2024-09-28,,line,
Server Load 9,41.91,2024-09-29,,line,
Server Load 9,41.96,2024-09-30,,line,
Server Load 9,45.06,2024-10-01,,line,
Server Load 9,47.59,2024-10-02,,line,
Server Load 9,52.14,2024-10-03,,line,
Server Load 9,50.49,2024-10-04,,line,
Server Load 9,52.33,2024-10-05,,line,
Server Load 9,49.95,2024-10-06,,line,
Server Load 9,47.96,2024-10-07,,line,
Server Load 9,51.93,2024-10-08,,line,
Server Load 9,48.73,2024-10-09,,line,
Server Load 9,50.87,2024-10-10,,line,
Server Load 9,52.12,2024-10-11,,line,
Server Load 9,52.85,2024-10-12,,line,
Server Load 9,56.76,2024-10-13,,line,
Server Load 9,58.37,2024-10-14,,line,
Server Load 9,58.35,2024-10-15,,line,
Server Load 9,62.14,2024-10-16,,line,
Server Load 9,64.91,2024-10-17,,line,
Server Load 9,63.25,2024-10-18,,line,
Server Load 9,63.50,2024-10-19,,line,
Server Load 9,59.99,2024-10-20,,line,
Server Load 9,60.41,2024-10-21,,line,
Server Load 9,57.36,2024-10-22,,line,
Server Load 9,61.42,2024-10-23,,line,
Server Load 9,58.91,2024-10-24,,line,
Server Load 9,55.00,2024-10-25,,line,
Server Load 9,54.40,2024-10-26,,line,
Server Load 9,56.08,2024-10-27,,line,
Server Load 9,60.00,2024-10-28,,line,
Server Load 9,59.15,2024-10-29,,line,
Server Load 9,56.88,2024-10-30,,line,
Server Load 9,56.69,2024-10-31,,line,
Server Load 9,55.02,2024-11-01,,line,
Server Load 9,59.71,2024-11-02,,line,
Server Load 9,58.61,2024-11-03,,line,
Server Load 9,60.81,2024-11-04,,line,
Server Load 9,56.63,2024-11-05,,line,
Server Load 9,59.57,2024-11-06,,line,
Server Load 9,58.67,2024-11-07,,line,
Server Load 9,56.23,2024-11-08,,line,
Server Load 10,46.37,2024-08-01,,line,
Server Load 10,43.07,2024-08-02,,line,
Server Load 10,44.61,2024-08-03,,line,
Server Load 10,43.45,2024-08-04,,line,
Server Load 10,47.14,2024-08-05,,line,
Server Load 10,50.81,2024-08-06,,line,
Server Load 10,46.78,2024-08-07,,line,
Server Load 10,47.77,2024-08-08,,line,
Server Load 10,49.89,2024-08-09,,line,
Server Load 10,47.58,2024-08-10,,line,
Server Load 10,42.71,2024-08-11,,line,
Server Load 10,47.54,2024-08-12,,line,
Server Load 10,42.70,2024-08-13,,line,
Server Load 10,45.78,2024-08-14,,line,
Server Load 10,48.71,2024-08-15,,line,
Server Load 10,46.33,2024-08-16,,line,
Server Load 10,51.25,2024-08-17,,line,
Server Load 10,48.68,2024-08-18,,line,
Server Load 10,51.91,2024-08-19,,line,
Server Load 10,52.76,2024-08-20,,line,
